No,ContractorName,Description,Status,PermitCategory,Type,SubType,Address,Zip,Applicant,Link,Lat,Long
1,KRIT DECOR,SUPPLEMENTAL  PERMIT TO 15010-10000-03210 TO RECHECK FOR CURRENT CODE,Issued,Plan Check,Bldg-New,Commercial,1020 W VENICE BLVD,90291,ANTHONY COSCIA (Architect),https://cityoflosangeles.build/permit/?pcis=15010-10002-03210,33.99366,-118.45301
2,OWNER-BUILDER,PROPOSED 2-STORY MIXED USE W/BASE. PKG. GAR.  CONSISTING  OF A 3566,Issued,Plan Check,Bldg-New,Commercial,613 E ROSE AVE,90291,REED ARCH. GROUP INC (Architect),https://cityoflosangeles.build/permit/?pcis=15010-20000-00296,33.99946,-118.47184
3,FOCUS BUILDERS INC,PDPP. New 5-story mixed use TOC Tier III  50-unit apartment building:,Issued,Plan Check,Bldg-New,Commercial,1808 S LINCOLN BLVD,90291,MICHAEL COHANZAD (Owner),https://cityoflosangeles.build/permit/?pcis=18010-10000-05928,33.99634,-118.4571
4,HB PARKCO CONSTRUCTION INC,(N) MIXED USE 2-STORY TYPE V-A HOTEL & 5-UNIT CONDO OVER 1-STORY TYPE,Issued,Plan Check,Bldg-New,Commercial,901 S ABBOT KINNEY BLVD,90291,MATTHEW AULIGNO (Agent for Owner),,,
5,BREAKFORM DESIGN INC,NEW (79'-5"x 28'-0") 3- STORY BUILDING 2-STORY SINGLE FAMILY DWELLING,Issued,Plan Check,Bldg-New,Commercial,3011 S OCEAN FRONT WALK,90291,RONALD HOWELL (Agent for Owner),,,
6,OWNER-BUILDER,NEW 3 STORY MIXED USE BUILDING CONSIST OF TWO ARTIST IN RESIDENCE UNIT,Issued,Plan Check,Bldg-New,Commercial,525 E PALMS BLVD,90291,JOHN  (Architect),https://cityoflosangeles.build/permit/?pcis=19010-10000-01377,33.99023,-118.46401
7,SHAWMUT WOODWORKING & SUPPLY INC,NEW 4 STORY MIXED USE BUILDING: 2 STORY TYPE VB 3-UNIT APARTMENT WITH,Issued,Plan Check,Bldg-New,Commercial,305 S OCEAN FRONT WALK,90291,BLAKE FOGEL (Owner),https://cityoflosangeles.build/permit/?pcis=17010-10000-01504,33.99448,-118.48019
8,L J CONSTRUCTION,NEW RESTAURANT TWO STORY RESTAURANT WITH OUTDOOR DINING.,Issued,Plan Check,Bldg-New,Commercial,1020 W VENICE BLVD,90291,ANTHONY COSCIA (Architect),https://cityoflosangeles.build/permit/?pcis=15010-10000-03210,33.99366,-118.45301
9,SDCCO,(N) SINGLE STORY RETAIL MINI MARKET AND 8 SURFACE PARKING STALLS ON SI,Issued,Plan Check,Bldg-New,Commercial,251 S LINCOLN BLVD,90291,KELLEN OBERTS (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=17010-10000-03810,34.0015,-118.46858
